NEW Name,Old Name,Classic Itinerary,Discovery Itinerary,CURRENT Price (USD),
Botswana Safari Escape: Chobe & Delta,"
BOTSWANA (6DAYS 4 STAR LUXURY)",https://wetu.com/Itinerary/Landing/beb602c9-63a8-48d0-b94a-026d5c177c20,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/beb602c9-63a8-48d0-b94a-026d5c177c20?m=b,4150,
Botswana Luxury Safari: Chobe to Delta,BOTSWANA (8 DAYS 5 STAR LUXURY),https://wetu.com/Itinerary/Landing/e632e115-5816-438d-95bf-9f28cc029857,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/e632e115-5816-438d-95bf-9f28cc029857?m=b,4485,
Kenya Safari Journey: Amboseli to Mara,AMBOSELI AND MASAI MARA (14 DAYS 4 STAR LUXURY),https://wetu.com/Itinerary/Landing/d13abfb7-c240-4286-9bdd-ba39f2902372,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/d13abfb7-c240-4286-9bdd-ba39f2902372?m=b,3450,
Kenya Safari Trail: Nakuru to Mara,MASAI MARA & LAKE NAKURU SAFARI (14 DAYS 4 STAR LUXURY),https://wetu.com/Itinerary/Landing/d4b0d9b5-444b-4709-a4b7-72ccf17e74bc,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/d4b0d9b5-444b-4709-a4b7-72ccf17e74bc?m=b,3950,
Kenya Northern Safari: Samburu to Mara,MASAI MARA & NORTHERN KENYA SAFARI (14 DAYS 4 STAR LUXURY),https://wetu.com/Itinerary/Landing/37259006-4060-4186-81d2-43780fffba63,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/37259006-4060-4186-81d2-43780fffba63?m=b,3950,
Kenya Explorer Safari: Meru to Mara,"
MERU, LAIKIPIA AND MASAI MARA SAFARI (14 DAYS 4 STAR LUXURY)",https://wetu.com/Itinerary/Landing/ca251378-8ccc-4211-afb6-1df4ddbe73b6,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/ca251378-8ccc-4211-afb6-1df4ddbe73b6?m=b,6985,
Luxury Kenya Safari: Ol Pejeta to Mara,MASAI MARA & NORTHERN KENYA SAFARI (14 DAYS 5 STAR LUXURY),https://wetu.com/Itinerary/Landing/73b7333f-e018-41fc-a999-d86f8c7695dc,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/73b7333f-e018-41fc-a999-d86f8c7695dc?m=b,6685,
Kenya Luxury Safari: Meru to Mara," MERU, LAIKIPIA AND MASAI MARA SAFARI (14 DAYS 5 STAR LUXURY)",https://wetu.com/Itinerary/Landing/a7054dda-5563-4846-8d19-c3054f73d01e,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/a7054dda-5563-4846-8d19-c3054f73d01e?m=b,7250,
Luxury Kenya Safari: Amboseli to Mara,AMBOSELI AND MASAI MARA (14 DAYS 5 STAR LUXURY),https://wetu.com/Itinerary/Landing/b6cdabbd-c8fa-46a8-8902-67f3298b9369,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/b6cdabbd-c8fa-46a8-8902-67f3298b9369?m=b,5950,
Kenya Luxury Safari: Nakuru to Mara,MASAI MARA & LAKE NAKURU SAFARI (14 DAYS 5 STAR LUXURY),https://wetu.com/Itinerary/Landing/d40978e0-3f04-4e1d-a728-3b3cecca74c9,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/d40978e0-3f04-4e1d-a728-3b3cecca74c9?m=b,6250,
Mombasa Beach Add-On: 4-Star Escape,KENYA BEACH & OCEAN SAFARI ADD ON (4 DAYS 4STAR LUXURY),https://wetu.com/Itinerary/Landing/f026efcb-bf71-4bd9-823a-d156ee7557db,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/f026efcb-bf71-4bd9-823a-d156ee7557db?m=b,500,
Kenya Beach Add-On: Diani in 5-Star Style,KENYA BEACH & OCEAN SAFARI ADD ON (4 DAYS 5 STAR LUXURY),https://wetu.com/Itinerary/Landing/bfee8d88-24d0-4d0b-94c0-d7e7fc3d047f,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/bfee8d88-24d0-4d0b-94c0-d7e7fc3d047f?m=b,890,
Great Masai Mara Safari Experience,THE GREAT MASAI MARA (9 DAYS 4 STAR LUXURY),https://wetu.com/Itinerary/Landing/abb1c02d-f4e6-47af-a7ac-c2404d985e13,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/abb1c02d-f4e6-47af-a7ac-c2404d985e13?m=b,1985,
Great Masai Mara Luxury Safari Tour,THE GREAT MASAI MARA (9 DAYS 5 STAR LUXURY),https://wetu.com/Itinerary/Landing/83fbc6f3-5a19-4e47-b51d-ae6fb370c6cf,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/83fbc6f3-5a19-4e47-b51d-ae6fb370c6cf?m=b,3985,
Kenya Big 5 Safari: Amboseli & Mara, BIG 5 SAFARIS IN KENYA (12 DAYS 4 STAR LUXURY),https://wetu.com/Itinerary/Landing/50e5a677-0380-40e1-a35a-31fe9d8cc1cb,https://itinerary.fairtradesafaris.com/ItineraryOutputs/Discovery/50e5a677-0380-40e1-a35a-31fe9d8cc1cb?m=b,3685,
